CAS RN,Chemical name,Australian Inventory of Industrial Chemicals (Inventory) listing,Safe Work Australia HCIS,ECHA Annex VI CLP,International Agency for Research on Cancer,United States National Toxicology Program Report on Carcinogens,European Commission Endocrine Disruptor Strategy,United Nations Environment Programme EDC,Government of Canada Toxic Substances List,ECHA Annex XIV,EU Substances of Very High Concern,Chemical Substance Control Law Japan,European Commission Endocrine Disruptor List,Date entry was added to the list
102110-55-4,"Residues (petroleum), steam-cracked light, arom.; Low boiling point naphtha - unspecified; [A complex combination of hydrocarbons obtained by the distillation of the products of steam cracking or similar processes after taking off the very light products resulting in a residue starting with hydrocarbons having carbon numbers greater than C5.  It consists predominantly of aromatic hydrocarbons having carbon numbers greater than C5 and boiling above approximately 40°C (104°F).]",-,Carcinogenicity 1B H350; Mutagenicity 1B H340,Carc. 1B H350; Muta. 1B H340,-,-,-,-,-,-,-,-,-,01-July-2020
102570-52-5,"Phenol, 4-(3-methylhexyl)-",-,-,-,-,-,-,Identified EDC,-,-,-,-,-,01-July-2020
102851-06-9,tau-fluvalinate (ISO);  cyano-(3-phenoxyphenyl)methyl N-[2-chloro-4-(trifluoromethyl)phenyl]-D-valinate,-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
103055-07-8,"lufenuron (ISO);  N-[2,5-dichloro-4-(1,1,2,3,3,3-hexafluoropropoxy)-phenyl-aminocarbonyl]-2,6-difluorobenzamide",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
103112-35-2,"ethyl 1-(2,4-dichlorophenyl)-5-(trichloromethyl)-1H-1,2,4-triazole-3-carboxylate",-,Carcinogenicity 1B H350; Aquatic (chronic) 1 H410,Carc. 1B H350; Aquatic Acute I H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
103122-66-3,O-isobutyl-N-ethoxy carbonylthiocarbamate,Listed - public,Carcinogenicity 1B H350; Mutagenicity 1B H340,Carc. 1B H350; Muta. 1B H340,-,-,-,-,-,-,-,-,-,01-July-2020
103173-66-6,"1,3-Dibromo-5-(3,5-dibromophenoxy)benzene",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
103361-09-7,"flumioxazin (ISO); N-(7-fluoro-3,4-dihydro-3-oxo-4-prop-2-ynyl-2H-1,4-benzoxazin-6-yl)cyclohex-1-ene-1,2-dicarboxamide; 2-[7-fluoro-3-oxo-4-(prop-2-yn-1-yl)-3,4-dihydro-2H-1,4-benzoxazin-6-yl]-4,5,6,7-tetrahydro-1H-isoindole-1,3(2H)-dione",-,Reproductive toxicity 1B H360D; Aquatic (chronic) 1 H410,Repr. 1B H360D; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
103426-92-2,"1,2,4,5,7,8-Hexachloronaphthalene",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
103426-93-3,"1,2,3,4,5,8-Hexachloronaphthalene",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
103426-94-4,"1,2,3,5,7,8-Hexachloronaphthalene",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
103426-95-5,"1,2,3,5,6,8-Hexachloronaphthalene",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
103426-96-6,"1,2,3,4,6,7-Hexachloronaphthalene",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
103426-97-7,"1,2,3,5,6,7-Hexachloronaphthalene",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
103818-83-3,"Ferrate(4-), hexakis(cyano-C)-, 4,4'-carbonimidoylbis[N,N-dimethylbenzenamine], copper(1+) salts",Listed - public,Carcinogenicity 2 H351,-,-,-,-,-,-,-,-,-,-,01-July-2020
104040-78-0,"flazasulfuron (ISO);  1-(4,6-dimethoxypyrimidin-2-yl)-3-(3-trifluoromethyl-2-pyridylsulfonyl)urea",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
104147-32-2,"3,5-dichloro-4-(1,1,2,2-tetrafluoroethoxy)aniline",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
104206-82-8,"mesotrione (ISO);  2-[4-(methylsulfonyl)-2-nitrobenzoyl]-1,3-cyclohexanedione",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
104376-63-8,"1,3-Benzenediamine, 4-methyl-, coupled with diazotized 4-methyl-1,3-benzenediamine, diazotized m-phenylenediamine, diazotized m-toluidine, m-phenylenediamine and m-toluidine, propoxylated, acetates",Listed - Public,Carcinogenicity 2 H351,-,-,-,-,-,-,-,-,-,-,24-September-2024
104558-95-4,"reaction mass of: thiobis(4,1-phenylene)-S,S,S',S'-tetraphenyldisulfonium bishexafluorophosphate;  diphenyl(4-phenylthiophenyl)sulfonium hexafluorophosphate;  propylene carbonate",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
104560-40-9,"N,N,N',N'-tetracyclohexyl-1,3-benzenedicarboxamide",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
104653-34-1,"difethialone (ISO); 3-[3-(4'-bromobiphenyl-4-yl)-1,2,3,4-tetrahydronaphthalen-1-yl]-4-hydroxy-2H-1-benzothiopyran-2-one",-,Reproductive toxicity 1B H360D; Aquatic (chronic) 1 H410,Repr. 1B H360D; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
104788-63-8,6-(nonylamino)-6-oxo-peroxyhexanoic acid,-,Aquatic (acute) 1 H400,Aquatic Acute 1 H400,-,-,-,-,-,-,-,-,-,01-July-2020
104860-26-6,cis-1-(3-(4-fluorophenoxy)propyl)-3-methoxy-4-piperidinamine,-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
104872-06-2,"(3S,4S)-3-hexyl-4-[(R)-2-hydroxytridecyl]-2-oxetanone",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
104948-36-9,Chloroalkanes(C=10-22),Listed - public,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
105024-66-6,(4-ethoxyphenyl)(3-(4-fluoro-3-phenoxyphenyl)propyl)dimethylsilane,-,Reproductive toxicity 1B H360F; Aquatic (chronic) 1 H410,Repr. 1B H360F; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
105254-85-1,3-(bis(2-ethylhexyl)aminomethyl)benzothiazole-2(3H)-thione,Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
105512-06-9,clodinafop-propargyl (ISO),-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
105650-23-5,"PhIP (2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine)",-,-,-,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
105735-71-5,"3,7-Dinitrofluoranthene",-,-,-,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
105813-13-6,"(-)(3S,4R)-4-(4-fluorophenyl)-3-(3,4-methylenedioxy-phenoxymethyl)-N-benzylpiperidine hydrochloride",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
106264-79-3,"6-methyl-2,4-bis(methylthio)phenylene-1,3-diamine",Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
106359-93-7,"2-(4-(3-(4-chlorophenyl)-4,5-dihydropyrazolyl)phenylsulphonyl)ethyldimethylammonium hydrogen phosphonate; 2-(4-(3-(4-chlorophenyl)-4,5-dihydropyrazolyl)phenylsulfonyl)ethyldimethylammonium hydrogen phosphonate
",Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
106461-41-0,"2,4-dihydro-4-(4-(4-(4-hydroxyphenyl)-1-piperazinyl)phenyl)-2-(1-methylpropyl)-3H-1,2,4-triazol-3-one",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
106599-06-8,"Phenol, p-sec-nonyl-, phosphite",-,-,-,-,-,-,-,-,-,Endocrine disrupting properties (Article 57(f) - environment),-,Endocrine disrupting properties (environment),24-September-2024
106700-29-2,pethoxamide (ISO);  2-chloro-N-(2-ethoxyethyl)-N-(2-methyl-1-phenylprop-1-enyl)acetamide,-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
106917-30-0,"3-dodecyl-(1-(1,2,2,6,6-pentamethyl-4-piperidin)-yl)-2,5-pyrrolidindione",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
106917-31-1,"1-acetyl-4-(3-dodecyl-2,5-dioxo-1-pyrrolidinyl)-2,2,6,6-tetramethylpiperidine",Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
107534-96-3,Tebuconazole,-,Reproductive toxicity 2 H361d; Aquatic (chronic) 1 H410,Repr. 2 H361D; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,Identified EDC,-,-,-,-,-,01-July-2020
107898-54-4,"(+/-) trans-3,3-dimethyl-5-(2,2,3-trimethyl-cyclopent-3-en-1-yl)-pent-4-en-2-ol",Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
108145-39-7,"2,2',3,4,4',5(or 2,2',3,4,4',5')-hexachlorobiphenyl",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
108171-26-2,"Alkanes, C10-12, chloro",-,-,-,-,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,Class I,-,01-July-2020
108173-90-6,guazatine (ISO),-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
108225-03-2,"(6-(4-hydroxy-3-(2-methoxyphenylazo)-2-sulfonato-7-naphthylamino)-1,3,5-triazin-2,4-diyl)bis[(amino-1-methylethyl)ammonium] formate; 2-Naphthalenesulfonic acid, 7-[[4,6-bis[(2-aminopropyl)amino]-1,3,5-triazin-2-yl]amino]-4-hydroxy-3-[(2-methoxyphenyl)azo]-, monoformate (salt)",Listed - public,Carcinogenicity 1B H350,Carc. 1B H350,-,-,-,-,-,-,-,-,-,01-July-2020
108427-54-9,"N,N,N-tributylbutan-1-aminium tridecafluorohexane-1-sulfonate",-,-,-,-,-,-,-,-,-,vPvB (Article 57e),-,-,24-September-2024
108427-55-0,"N,N,N-triethylethanaminium tridecafluorohexane-1-sulfonate",-,-,-,-,-,-,-,-,-,vPvB (Article 57e),-,-,24-September-2024
108594-54-3,"1,3-Benzenediamine, 4-methoxy, coupled with diazotized 4-methoxy-1,3-benzenediamine, diazotized 2(or 4)-methyl-1,3-benzenediamine and 2(or 4)-methyl-1,3-benzenediamine",Listed - Public,Carcinogenicity 2 H351,-,-,-,-,-,-,-,-,-,-,24-September-2024
108594-55-4,"1,3-Benzenediamine, 4-methoxy-, coupled with diazotized 4-methoxy-1,3-benzenediamine, diazotized 2(or 4)-methyl-1,3-benzenediamine and 2(or 4)-methyl-1,3-benzenediamine, hydrochlorides",Listed - Public,Carcinogenicity 2 H351,-,-,-,-,-,-,-,-,-,-,24-September-2024
109125-51-1,"ammonium bis(1-(3,5-dinitro-2-oxidophenylazo)-3-(N-phenylcarbamoyl)-2-naphtholato)chromate(1-)",Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
109328-45-2,"(R)-2,2',3,3',4,4',6,6'-octachlorobiphenyl",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
109328-46-3,"(S)-2,2',3,3',4,4',6,6'-octachlorobiphenyl",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
110235-47-7,mepanipyrim;  4-methyl-N-phenyl-6-(1-propynyl)-2-pyrimidinamine,-,Carcinogenicity 2 H351; Aquatic (chronic) 1 H410,Carc. 2 H351; Aquatic Acute 1 H400; Aquatic Chronic H410,-,-,-,-,-,-,-,-,-,01-July-2020
110488-70-5,"dimethomorph (ISO); 4-(3-(4-chlorophenyl)-3-(3,4-dimethoxyphenyl)acryloyl)morpholine",-,Reproductive toxicity 1B H360F,Repr. 1B H360F,-,-,-,-,-,-,-,-,-,24-September-2024
110895-43-7,"1-(N,N-dimethylcarbamoyl)-3-tert-butyl-5-carbethoxymethylthio-1H-1,2,4-triazole",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
111025-46-8,Pioglitazone,-,-,-,Group 2A,-,-,-,-,-,-,-,-,01-July-2020
111276-74-5,"2,2',3,6,6',?-hexachlorobiphenyl",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
111276-75-6,"2,4,4',?,?-pentachlorobiphenyl",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
111276-76-7,"2,2',6',?,?-pentachlorobiphenyl",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
111276-77-8,"2,2',5,6',?,?-hexachlorobiphenyl",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
111276-78-9,"2,?,?-trichlorobiphenyl",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
111276-79-0,"4,4',?,?,?,?-hexachlorobiphenyl",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
111276-80-3,"2,2',5,6',?,?,?-heptachlorobiphenyl",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
111276-81-4,"4,4',?,?,?-pentachlorobiphenyl",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
111276-82-5,"2,3,3',4,4',5,5',?-octachlorobiphenyl",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
111276-83-6,"2,2',5,6',?,?,?,?-octachlorobiphenyl",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
111636-31-8,"Benzenesulfonic acid, 3,3'-[[3,3'-dichloro(1,1'-biphenyl)-4,4'-diyl]bis[azo(4,5-dihydro-3-methyl-5-oxo-1H-pyrazole-4,1-diyl)]]bis-, calcium salt (1:1)",Listed - Public,Carcinogenicity 1B H350; Mutagenicity H341,-,-,-,-,-,-,-,-,-,-,24-September-2024
111850-24-9,"4-(4-nitrophenylazo)-2,6-di-sec-butyl-phenol",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
111988-49-9,"thiacloprid (ISO); (Z)-3-(6-chloro-3-pyridylmethyl)-1,3-thiazolidin-2-ylidenecyanamide; {(2Z)-3-[(6-chloropyridin-3-yl)methyl]-1,3-thiazolidin-2-ylidene}cyanamide",-,Carcinogenicity 2 H351; Reproductive toxicity 1B H360FD; Aquatic (chronic) 1 H410,Carc. 2 H351; Repr. 1B H360FD; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
113614-08-7,"beflubutamid (ISO);  (RS)-N-benzyl-2-(a,a,a,4-tetrafluoro-m-tolyoxy)butyramide",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
113674-95-6,4-(2-chloro-4-trifluoromethyl)phenoxy-2-fluoroaniline hydrochloride,-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
113694-52-3,benzyl-2-hydroxydodecyldimethylammonium benzoate,-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
114311-32-9,imazamox (ISO);  (RS)-2-(4-isopropyl-4-methyl-5-oxo-2-imidazolin-2-yl)-5-methoxymethylnicotinic acid,-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
114341-88-7,"3-(2-bromopropionoyl)-4,4-dimethyl-1,3-oxazolan-2-one",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
114369-43-6,"fenbuconazole (ISO);  4-(4-chlorophenyl)-2-phenyl-2-[(1H-1,2,4-triazol-1-yl)methyl]butanenitrile",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
114565-66-1,"4-[4-(1,3-dihydroxyprop-2-yl)phenylamino]-1,8-dihydroxy-5-nitroanthraquinone; 9,10-Anthracenedione, 1,8-dihydroxy-4-[[4-[2-hydroxy-1-(hydroxymethyl)ethyl]phenyl]amino]-5-nitro-",Listed - public,Carcinogenicity 2 H351,Carc. 2 H351,-,-,-,-,-,-,-,-,-,01-July-2020
114565-70-7,3-amino-4-hydroxy-N-(3-isopropoxypropyl)benzenesulfonamide hydrochloride,-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
115099-58-6,"3-(5-acetylamino-4-(4-[4,6-bis(3-diethylaminopropylamino)-1,3,5-triazin-2-ylamino]phenylazo)-2-(2-methoxyethoxy)phenylazo)-6-amino-4-hydroxy-2-naphthalenesulfonic acid",Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
115662-06-1,"5,6,12,13-tetrachloroanthra(2,1,9-def:6,5,10-d'e'f')diisoquinoline-1,3,8,10(2H,9H)-tetrone",-,Reproductive toxicity 2 H361f,Repr. 2 H361f,-,-,-,-,-,-,-,-,-,01-July-2020
116163-96-3,"P,P,P',P'-tetrakis-(o-methoxyphenyl)propane-1,3-diphosphine",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
116355-83-0,Fumonisin B1,-,-,-,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
116412-83-0,"4-chloro-3',4'-dimethoxybenzophenone",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
116565-73-2,"Chromium lead molybdenum oxide sulfate, silica modified",Listed - public,Carcinogenicity 1B H350; Mutagenicity 2 H341; Reproductive toxicity 1A H360Df,-,-,-,-,-,-,-,-,-,-,01-July-2020
116565-74-3,"Chromium lead oxide sulfate, silica modified",Listed - public,Carcinogenicity 1B H350; Mutagenicity 2 H341; Reproductive toxicity 1A H360Df,-,-,-,-,-,-,-,-,-,-,01-July-2020
116753-76-5,"O,O-tert-butyl O-docosyl monoperoxyoxalate",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
116810-46-9,tetrakis(trimethylhexadecylammonium) hexa-mu-oxotetra-mu3-oxodi-mu5-oxotetradecaoxooctamolybdate(4-),Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
116995-32-5,"1,2,4,5-Tetrabromo-3-(2,4,6-tribromophenoxy)benzene",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
116995-33-6,"1,2,4,5-Tetrabromo-3-(2,4-dibromophenoxy)benzene",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
117291-73-3,"methyl [2-(1,1-dimethylethyl)-6-methoxypyrimidin-4-yl]ethylphosphonothioate",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
117584-16-4,"3-(2,6-dichloro-4-nitrophenylazo)-1-methyl-2-phenylindole",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
117933-89-8,"1,3-Dioxane, 2-(2,4-dimethyl-3-cyclohexene-1-yl)-5-methyl-5-(1-methylpropyl)-",Listed - public,-,-,-,-,-,-,-,vPvB (Article 57e),vPvB (Article 57e),-,-,01-July-2020
117948-63-7,"1,2,3,5-Tetrabromo-4-(2,4,6-tribromophenoxy)benzene",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
118134-30-8,"spiroxamine (ISO);  8-tert-butyl-1,4-dioxaspiro[4.5]decan-2-ylmethyl(ethyl)(propyl)amine",-,Reproductive toxicity 2 H361d; Aquatic (chronic) 1 H410,Repr. 2 H361D; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
118289-55-7,"6-chloro-5-(2-chloroethyl)-1,3-dihydroindol-2-one",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
118562-73-5,2-cyclododecylpropan-1-ol,Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
118612-00-3,"N,N-dimethylanilinium tetrakis(pentafluorophenyl)borate",-,Carcinogenicity 2 H351,Carc. 2 H351,-,-,-,-,-,-,-,-,-,01-July-2020
118658-98-3,"reaction mass of 7-[4-(3-diethylaminopropylamino)-6-(3-diethylammoniopropylamino)-1,3,5-triazin-2-ylamino]-4-hydroxy-3-(4-phenylazophenylazo)-naphthalene-2-sulfonate, acetic acid, lactic acid (2:1:1); Propanoic acid, 2-hydroxy-, compound with 7-[[4,6-bis[[3-(diethylamino)propyl]amino]-1,3,5-triazin-2-yl]amino]-4-hydroxy-3-[[4-(phenylazo)phenyl]azo]-2-naphthalenesulfonic acid acetate (salt)",Listed - public,Carcinogenicity 2 H351,-,-,-,-,-,-,-,-,-,-,01-July-2020
118658-99-4,"(methylenebis(4,1-phenylenazo(1-(3-(dimethylamino)propyl)-1,2-dihydro-6-hydroxy-4-methyl-2-oxopyridine-5,3-diyl)))-1,1'-dipyridinium dichloride dihydrochloride; Bipyridinium, 5',5'''-[methylenebis(4,1-phenyleneazo)]bis[1'-[3-(dimethylamino)propyl]-1',2'-dihydro-6'-hydroxy-4'-methyl-2'-oxo-, dichloride, dihydrochloride",Listed - public,Carcinogenicity 1B H350,Carc. 1B H350,-,-,-,-,-,-,-,-,-,01-July-2020
118712-89-3,"transfluthrin (ISO);  2,3,5,6-tetrafluorobenzyl trans-2-(2,2-dichlorovinyl)-3,3-dimethylcyclopropanecarboxylate",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
118832-72-7,"iso(C10-C14)alkyl (3,5-di-tert-butyl-4-hydroxyphenyl)methylthioacetate",Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
119168-77-3,tebufenpyrad (ISO); N-(4-tertbutylbenzyl)-4-chloro-3- ethyl-1-methyl-1Hpyrazole-5- carboxamide,-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
119264-50-5,"2,2',3,3',4,6'-Hexabromobiphenyl",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
119264-51-6,"2,2',3,3',5,6'-Hexabromobiphenyl",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
119264-52-7,"2,2',3,4,5',6-Hexabromobiphenyl",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
119264-53-8,"2,2',3,5,5',6-Hexabromobiphenyl",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
119313-12-1,2-benzyl-2-dimethylamino-4-morpholinobutyrophenone,Listed - public,Reproductive toxicity 1B H360D; Aquatic (chronic) 1 H410,Repr. 1B H360D; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,Toxic for reproduction (Article 57c),-,-,01-July-2020
119462-56-5,"1,3-bis(3-methyl-2,5-dioxo-1H-pyrrolinylmethyl)benzene",Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
119738-06-6,Quizalafop-p-tefuryl,-,Mutagenicity 2 H341; Reproductive toxicity 1B H360Df; Aquatic (chronic) 1 H410,Carc. 2 H351; Repr. 2 H361fd; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
120068-37-3,"fipronil (ISO);  5-amino-1-[2,6-dichloro-4-(trifluoromethyl)phenyl]-4-[(trifluoromethyl)sulfinyl]-1H-pyrazole-3-carbonitrile",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
120086-58-0,"(Z)-13-docosenyl-N,N-bis(2-hydroxyethyl)-N-methyl-ammonium-chloride",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
120116-88-3,"cyazofamid (ISO);  4-chloro-2-cyano-N,N-dimethyl-5-p-tolylimidazole-1-sulfonamide",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
120162-55-2,"azimsulfuron (ISO);  1-(4,6-dimethoxypyrimidin-2-yl)-3-[1-methyl-4-(2-methyl-2H-tetrazol-5-yl)pyrazol-5-ylsulfonyl]urea",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
120187-29-3,4'-ethoxy-2-benzimidazoleanilide,Listed - public,Mutagenicity 2 H341,Muta. 2 H341,-,-,-,-,-,-,-,-,-,01-July-2020
120298-38-6,"(S,S)-trans-4-(acetylamino)-5,6-dihydro-6-methyl-7,7-dioxo-4H-thieno[2,3-b]thiopyran-2-sulfonamide",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
